City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Port Hedland,AU,2022-08-09 01:46:46,-20.3167,118.5667,78.85,21,7,6.91,clear sky
92,Banjarmasin,ID,2022-08-09 01:46:46,-3.3244,114.591,84.34,78,100,2.8,overcast clouds
93,Ponta Delgada,PT,2022-08-09 01:46:47,37.7333,-25.6667,75.51,88,75,3.44,broken clouds
94,Guaira,BR,2022-08-09 01:46:47,-20.3183,-48.3106,65.5,75,85,3.04,light rain
95,Mehran,IR,2022-08-09 01:46:47,33.1222,46.1646,94.3,15,0,13.44,clear sky
96,Marietta,US,2022-08-09 01:46:48,33.9526,-84.5499,79.47,89,75,4.61,broken clouds
97,Gouyave,GD,2022-08-09 01:46:48,12.1646,-61.7296,81.37,78,20,11.5,few clouds
98,Ngunguru,NZ,2022-08-09 01:46:48,-35.6167,174.5,55.69,87,45,10.94,scattered clouds
99,Nome,US,2022-08-09 01:46:49,64.5011,-165.4064,51.87,82,100,10.36,light rain
100,Pevek,RU,2022-08-09 01:44:00,69.7008,170.3133,42.91,69,80,12.3,broken clouds
101,Kholodnyy,RU,2022-08-09 01:46:49,62.7167,147.95,68.77,52,100,6.8,overcast clouds
102,Norman Wells,CA,2022-08-09 01:46:49,65.282,-126.8329,71.64,33,20,4.61,few clouds
103,Raga,SS,2022-08-09 01:46:50,8.4596,25.678,69.04,97,97,3.98,overcast clouds
104,Brownwood,US,2022-08-09 01:46:50,31.7093,-98.9912,96.12,36,35,10.6,scattered clouds
105,Dikson,RU,2022-08-09 01:46:50,73.5069,80.5464,42.04,96,45,19.35,scattered clouds
106,Saskylakh,RU,2022-08-09 01:46:51,71.9167,114.0833,63.21,61,20,12.77,few clouds
107,Bereda,ES,2022-08-09 01:46:51,43.2686,-7.5406,64.58,100,49,5.03,scattered clouds
108,Grootfontein,NA,2022-08-09 01:46:51,-19.5667,18.1167,49.57,46,0,3.44,clear sky
109,Mount Isa,AU,2022-08-09 01:46:52,-20.7333,139.5,71.37,20,0,12.66,clear sky
110,Atuona,PF,2022-08-09 01:44:34,-9.8,-139.0333,77.61,71,28,16.67,scattered clouds
111,Juneau,US,2022-08-09 01:42:05,58.3019,-134.4197,60.84,87,100,4.61,overcast clouds
112,Pa Daet,TH,2022-08-09 01:46:52,19.5049,99.9924,79.05,94,100,0.69,overcast clouds
113,Grand Gaube,MU,2022-08-09 01:46:52,-20.0064,57.6608,70.2,76,4,1.01,clear sky
114,Mpulungu,ZM,2022-08-09 01:46:53,-8.7623,31.1141,66.97,50,0,6.42,clear sky
115,Qasigiannguit,GL,2022-08-09 01:46:53,68.8193,-51.1922,41.25,98,100,8.46,light rain
116,Komsomolskiy,UZ,2022-08-09 01:46:53,40.4272,71.7189,79.52,31,0,9.22,clear sky
117,Tessalit,ML,2022-08-09 01:46:54,20.1986,1.0114,92.19,38,70,12.93,broken clouds
118,Puerto Ayora,EC,2022-08-09 01:43:53,-0.7393,-90.3518,69.55,86,92,3.0,overcast clouds
119,Provideniya,RU,2022-08-09 01:46:54,64.3833,-173.3,53.71,58,40,13.42,scattered clouds
120,Murray Bridge,AU,2022-08-09 01:44:46,-35.1167,139.2667,61.12,49,0,11.65,clear sky
121,Tainan,TW,2022-08-09 01:46:55,22.9908,120.2133,89.51,62,75,5.75,broken clouds
122,Hiranagar,IN,2022-08-09 01:46:55,32.45,75.2667,84.04,74,100,2.86,overcast clouds
123,Plettenberg Bay,ZA,2022-08-09 01:46:55,-34.0527,23.3716,58.93,71,82,6.91,broken clouds
124,Kawardha,IN,2022-08-09 01:46:56,22.0167,81.25,81.16,75,100,4.76,overcast clouds
125,Hamilton,US,2022-08-09 01:46:31,39.1834,-84.5333,82.24,85,0,3.44,clear sky
126,Udalguri,IN,2022-08-09 01:46:56,26.7667,92.1333,84.74,79,84,4.43,broken clouds
127,Hithadhoo,MV,2022-08-09 01:46:56,-0.6,73.0833,81.64,66,97,1.72,overcast clouds
128,Cabo San Lucas,MX,2022-08-09 01:46:57,22.8909,-109.9124,88.52,73,90,7.31,overcast clouds
129,Bredasdorp,ZA,2022-08-09 01:46:57,-34.5322,20.0403,50.94,94,9,3.33,clear sky
130,Port Loko,SL,2022-08-09 01:46:57,8.7667,-12.7833,73.13,97,99,3.0,overcast clouds
131,Tra Vinh,VN,2022-08-09 01:46:58,9.9347,106.3453,75.02,93,100,6.38,overcast clouds
132,Luderitz,NA,2022-08-09 01:46:58,-26.6481,15.1594,53.42,87,47,5.32,scattered clouds
133,Samarkand,UZ,2022-08-09 01:46:58,39.6542,66.9597,69.22,56,0,6.91,clear sky
134,Tasiilaq,GL,2022-08-09 01:46:59,65.6145,-37.6368,39.36,96,100,0.67,overcast clouds
135,Mizque,BO,2022-08-09 01:46:59,-17.941,-65.3402,57.76,89,98,3.56,overcast clouds
136,Santarem,BR,2022-08-09 01:46:59,-2.4431,-54.7083,84.33,79,0,9.22,clear sky
137,Hobart,AU,2022-08-09 01:43:56,-42.8794,147.3294,54.27,65,20,8.05,few clouds
138,Shaghat,AM,2022-08-09 01:47:00,39.5625,45.9143,57.36,91,26,6.35,scattered clouds
139,Talnakh,RU,2022-08-09 01:47:00,69.4865,88.3972,65.21,87,45,3.33,light rain
140,Port Elizabeth,ZA,2022-08-09 01:47:00,-33.918,25.5701,56.32,99,100,6.91,mist
141,Devonport,AU,2022-08-09 01:47:01,-41.1667,146.35,54.0,56,1,1.05,clear sky
142,Narsaq,GL,2022-08-09 01:47:01,60.9167,-46.05,48.42,85,51,2.39,broken clouds
143,Lobito,AO,2022-08-09 01:47:01,-12.3481,13.5456,67.51,86,3,3.29,clear sky
144,Sisimiut,GL,2022-08-09 01:47:02,66.9395,-53.6735,40.28,94,100,11.43,overcast clouds
145,Tucurui,BR,2022-08-09 01:47:02,-3.7661,-49.6725,76.01,61,96,2.75,overcast clouds
146,Posadas,AR,2022-08-09 01:42:50,-27.3671,-55.8961,60.78,82,0,10.36,clear sky
147,Samarai,PG,2022-08-09 01:47:03,-10.6167,150.6667,81.05,65,48,14.85,scattered clouds
148,Prince Rupert,CA,2022-08-09 01:45:08,54.3161,-130.3201,66.29,65,0,16.11,clear sky
149,Lebedinyy,RU,2022-08-09 01:47:03,58.5167,125.5167,49.75,99,100,11.12,light rain
150,San Quintin,MX,2022-08-09 01:47:04,30.4833,-115.95,73.18,76,8,12.46,clear sky
151,Port Alfred,ZA,2022-08-09 01:47:04,-33.5906,26.891,60.21,82,70,7.9,broken clouds
152,Waingapu,ID,2022-08-09 01:47:04,-9.6567,120.2641,85.33,61,45,11.81,scattered clouds
153,Sambava,MG,2022-08-09 01:47:05,-14.2667,50.1667,66.87,87,54,11.72,broken clouds
154,Vila Velha,BR,2022-08-09 01:47:05,-20.3297,-40.2925,75.15,87,20,5.75,few clouds
155,Mehamn,NO,2022-08-09 01:47:05,71.0357,27.8492,49.95,87,75,9.22,broken clouds
156,Pokosnoye,RU,2022-08-09 01:47:06,55.5258,101.0536,66.43,64,40,5.3,scattered clouds
